well_tag_number,drilling_method_code
508,OTHER
509,OTHER
510,OTHER
511,OTHER
513,EXCAVATING
514,OTHER
515,OTHER
516,OTHER
518,OTHER
519,OTHER
520,OTHER
521,OTHER
522,OTHER
523,UNK
524,OTHER
528,OTHER
529,OTHER
530,UNK
531,UNK
532,UNK
534,OTHER
535,OTHER
536,EXCAVATING
537,OTHER
538,OTHER
539,OTHER
540,UNK
541,OTHER
542,OTHER
543,OTHER
544,OTHER
546,OTHER
547,OTHER
548,OTHER
549,OTHER
550,OTHER
551,OTHER
553,OTHER
554,OTHER
555,OTHER
556,UNK
557,OTHER
558,OTHER
559,OTHER
560,OTHER
561,OTHER
562,EXCAVATING
563,OTHER
564,OTHER
565,OTHER
566,OTHER
568,OTHER
569,OTHER
570,OTHER
571,OTHER
572,OTHER
573,OTHER
574,OTHER
575,OTHER
577,OTHER
578,OTHER
579,OTHER
580,OTHER
581,OTHER
582,OTHER
583,OTHER
584,OTHER
585,OTHER
586,OTHER
587,OTHER
588,OTHER
590,OTHER
591,OTHER
592,OTHER
594,OTHER
595,OTHER
596,OTHER
598,OTHER
600,OTHER
601,OTHER
602,OTHER
603,OTHER
604,OTHER
606,OTHER
607,OTHER
608,OTHER
609,OTHER
610,OTHER
611,OTHER
612,OTHER
613,OTHER
614,OTHER
615,UNK
616,OTHER
617,OTHER
618,OTHER
619,OTHER
620,OTHER
621,OTHER
622,OTHER
623,OTHER
624,OTHER
626,UNK
627,OTHER
628,OTHER
629,OTHER
630,OTHER
631,OTHER
632,OTHER
633,OTHER
635,OTHER
636,OTHER
637,OTHER
638,OTHER
639,OTHER
640,OTHER
641,OTHER
642,OTHER
643,OTHER
644,OTHER
645,OTHER
646,OTHER
648,OTHER
649,OTHER
650,OTHER
651,OTHER
652,OTHER
653,OTHER
654,OTHER
655,OTHER
656,OTHER
657,OTHER
658,OTHER
659,UNK
660,OTHER
661,OTHER
662,OTHER
663,OTHER
664,OTHER
665,OTHER
666,OTHER
667,EXCAVATING
668,OTHER
669,OTHER
670,OTHER
671,OTHER
672,OTHER
673,OTHER
674,UNK
675,OTHER
676,OTHER
677,OTHER
678,UNK
679,OTHER
680,OTHER
681,OTHER
682,AIR_ROTARY
683,OTHER
684,OTHER
685,OTHER
686,OTHER
687,EXCAVATING
688,EXCAVATING
689,EXCAVATING
690,OTHER
691,OTHER
692,OTHER
693,OTHER
694,OTHER
695,CABLE_TOOL
696,EXCAVATING
697,OTHER
698,OTHER
699,OTHER
700,OTHER
701,OTHER
703,OTHER
704,OTHER
705,OTHER
706,OTHER
707,OTHER
708,OTHER
709,OTHER
710,OTHER
712,OTHER
713,OTHER
714,OTHER
715,OTHER
716,OTHER
717,OTHER
718,OTHER
719,OTHER
720,OTHER
721,OTHER
722,EXCAVATING
723,OTHER
724,OTHER
725,EXCAVATING
726,OTHER
727,OTHER
728,OTHER
729,OTHER
730,OTHER
731,OTHER
732,OTHER
733,OTHER
734,OTHER
735,OTHER
736,OTHER
737,EXCAVATING
738,EXCAVATING
739,OTHER
741,OTHER
742,OTHER
743,EXCAVATING
744,OTHER
745,OTHER
747,OTHER
748,OTHER
749,EXCAVATING
750,EXCAVATING
751,OTHER
752,EXCAVATING
753,EXCAVATING
754,OTHER
755,OTHER
756,EXCAVATING
757,OTHER
758,EXCAVATING
759,EXCAVATING
760,EXCAVATING
761,OTHER
763,OTHER
764,OTHER
765,OTHER
766,OTHER
767,OTHER
768,OTHER
769,EXCAVATING
770,OTHER
771,OTHER
772,OTHER
773,OTHER
774,AIR_ROTARY
775,OTHER
776,OTHER
777,OTHER
778,OTHER
779,OTHER
781,EXCAVATING
782,OTHER
783,CABLE_TOOL
784,OTHER
785,OTHER
786,OTHER
787,EXCAVATING
788,OTHER
789,OTHER
791,OTHER
792,OTHER
793,OTHER
794,OTHER
795,OTHER
796,OTHER
797,OTHER
798,OTHER
799,OTHER
800,OTHER
801,OTHER
804,OTHER
806,OTHER
807,UNK
809,OTHER
810,EXCAVATING
811,OTHER
812,OTHER
813,AIR_ROTARY
814,OTHER
815,OTHER
816,OTHER
817,OTHER
818,UNK
819,OTHER
821,OTHER
822,OTHER
824,OTHER
825,OTHER
826,OTHER
827,OTHER
828,UNK
829,OTHER
830,OTHER
831,UNK
832,UNK
833,OTHER
834,OTHER
835,UNK
836,OTHER
837,OTHER
838,OTHER
839,OTHER
840,OTHER
841,OTHER
843,OTHER
844,UNK
845,OTHER
846,OTHER
847,OTHER
849,OTHER
850,UNK
851,OTHER
852,OTHER
853,OTHER
854,OTHER
856,UNK
857,OTHER
859,UNK
860,AIR_ROTARY
861,OTHER
862,OTHER
864,OTHER
865,OTHER
867,OTHER
869,OTHER
870,UNK
871,OTHER
872,OTHER
874,OTHER
876,OTHER
877,OTHER
878,OTHER
879,CABLE_TOOL
880,OTHER
881,OTHER
882,OTHER
883,EXCAVATING
884,UNK
885,OTHER
889,OTHER
890,OTHER
893,OTHER
894,UNK
896,OTHER
897,OTHER
898,OTHER
900,OTHER
901,OTHER
902,OTHER
903,OTHER
904,OTHER
905,OTHER
906,OTHER
907,OTHER
908,OTHER
910,UNK
911,EXCAVATING
912,UNK
913,AIR_ROTARY
915,UNK
917,EXCAVATING
918,EXCAVATING
919,EXCAVATING
920,UNK
921,OTHER
922,EXCAVATING
923,EXCAVATING
924,EXCAVATING
925,OTHER
926,UNK
928,OTHER
929,OTHER
931,OTHER
932,OTHER
933,OTHER
935,OTHER
937,OTHER
938,OTHER
939,OTHER
941,EXCAVATING
942,OTHER
943,UNK
946,OTHER
947,OTHER
948,OTHER
950,OTHER
951,OTHER
952,OTHER
953,OTHER
954,OTHER
955,OTHER
956,OTHER
959,OTHER
960,OTHER
961,OTHER
962,UNK
963,OTHER
964,OTHER
965,OTHER
967,OTHER
971,UNK
973,OTHER
975,OTHER
976,OTHER
978,OTHER
980,OTHER
981,OTHER
982,OTHER
984,OTHER
985,OTHER
986,OTHER
988,OTHER
991,OTHER
992,OTHER
993,OTHER
994,OTHER
996,OTHER
1000,OTHER
1001,OTHER
1002,OTHER
1003,OTHER
1004,DUGOUT
1005,OTHER
1006,EXCAVATING
1007,EXCAVATING
1008,OTHER
1009,OTHER
1010,OTHER
1011,OTHER
1012,EXCAVATING
1013,OTHER
1014,EXCAVATING
1015,EXCAVATING
1018,EXCAVATING
1020,EXCAVATING
1021,OTHER
1022,OTHER
1023,OTHER
1024,EXCAVATING
1025,EXCAVATING
1026,EXCAVATING
1027,OTHER
1028,OTHER
1029,OTHER
1030,OTHER
1031,OTHER
1032,OTHER
1033,OTHER
1034,OTHER
1035,OTHER
1036,OTHER
1037,OTHER
1038,EXCAVATING
1039,OTHER
1040,OTHER
1041,OTHER
1042,OTHER
1043,OTHER
1044,OTHER
1045,OTHER
1046,OTHER
1047,OTHER
1048,OTHER
1049,OTHER
1050,OTHER
1051,OTHER
1052,OTHER
1053,OTHER
1054,OTHER
1055,OTHER
1056,OTHER
1057,OTHER
1058,OTHER
1059,OTHER
1060,CABLE_TOOL
1061,OTHER
1062,AIR_ROTARY
1063,OTHER
1064,CABLE_TOOL
1065,OTHER
1066,OTHER
1067,OTHER
1068,OTHER
1069,CABLE_TOOL
1070,OTHER
1071,OTHER
1072,OTHER
1073,OTHER
1074,OTHER
1075,OTHER
1076,OTHER
1077,OTHER
1078,OTHER
1079,OTHER
1080,OTHER
1081,OTHER
1082,OTHER
1083,EXCAVATING
1084,OTHER
1085,OTHER
1086,OTHER
1087,OTHER
1088,EXCAVATING
1089,OTHER
1091,EXCAVATING
1092,OTHER
1093,OTHER
1094,OTHER
1095,OTHER
1096,EXCAVATING
1097,OTHER
1098,OTHER
1099,OTHER
1100,OTHER
1101,EXCAVATING
1102,EXCAVATING
1103,OTHER
1104,OTHER
1105,OTHER
1106,OTHER
1107,OTHER
1108,OTHER
1109,OTHER
1110,EXCAVATING
1111,OTHER
1112,OTHER
1113,OTHER
1114,OTHER
1115,OTHER
1116,OTHER
1117,OTHER
1118,OTHER
1119,EXCAVATING
1120,OTHER
1121,EXCAVATING
1122,OTHER
1123,EXCAVATING
1124,OTHER
1125,OTHER
1126,OTHER
1127,OTHER
1128,OTHER
1129,OTHER
1130,OTHER
1131,OTHER
1132,OTHER
1133,OTHER
1134,OTHER
1135,OTHER
1136,OTHER
1138,OTHER
1139,OTHER
1140,OTHER
1141,OTHER
1142,OTHER
1143,OTHER
1144,OTHER
1145,OTHER
1146,OTHER
1147,OTHER
1148,OTHER
1149,OTHER
1150,OTHER
1151,OTHER
1152,OTHER
1153,OTHER
1154,OTHER
1155,OTHER
1156,OTHER
1157,OTHER
1158,OTHER
1159,OTHER
1160,OTHER
1161,OTHER
1162,OTHER
1163,OTHER
1164,OTHER
1165,OTHER
1166,EXCAVATING
1167,OTHER
1168,OTHER
1169,OTHER
1170,OTHER
1171,OTHER
1172,OTHER
1173,OTHER
1174,OTHER
1175,OTHER
1176,OTHER
1177,OTHER
1178,OTHER
1179,OTHER
1180,OTHER
1181,OTHER
1182,EXCAVATING
1183,OTHER
1184,OTHER
1185,OTHER
1186,OTHER
1187,OTHER
1188,OTHER
1189,OTHER
1190,OTHER
1191,OTHER
1192,EXCAVATING
1193,OTHER
1194,OTHER
1195,OTHER
1196,OTHER
1197,OTHER
1198,OTHER
1199,OTHER
1200,OTHER
1201,EXCAVATING
1202,OTHER
1203,OTHER
1204,OTHER
1205,OTHER
1206,OTHER
1207,OTHER
1208,OTHER
1209,OTHER
1210,OTHER
1211,OTHER
1212,EXCAVATING
1213,OTHER
1214,OTHER
1215,OTHER
1216,OTHER
1217,OTHER
1218,OTHER
1219,OTHER
1220,OTHER
1221,OTHER
1222,OTHER
1223,EXCAVATING
1224,EXCAVATING
1225,OTHER
1226,OTHER
1227,OTHER
1228,OTHER
1229,OTHER
1230,OTHER
1231,OTHER
1232,OTHER
1233,OTHER
1234,OTHER
1235,OTHER
1236,OTHER
1237,OTHER
1238,OTHER
1239,OTHER
1240,OTHER
1241,EXCAVATING
1243,EXCAVATING
1244,OTHER
1245,EXCAVATING
1246,EXCAVATING
1247,OTHER
1248,EXCAVATING
1249,EXCAVATING
1250,EXCAVATING
1251,EXCAVATING
1252,OTHER
1253,OTHER
1254,OTHER
1255,OTHER
1256,OTHER
1257,EXCAVATING
1258,OTHER
1259,EXCAVATING
1260,EXCAVATING
1261,EXCAVATING
1262,EXCAVATING
1263,EXCAVATING
1264,EXCAVATING
1268,OTHER
1269,OTHER
1270,OTHER
1271,OTHER
1273,EXCAVATING
1274,EXCAVATING
1275,EXCAVATING
1276,EXCAVATING
1277,OTHER
1278,OTHER
1279,EXCAVATING
1280,EXCAVATING
1281,EXCAVATING
1282,EXCAVATING
1283,OTHER
1284,EXCAVATING
1285,EXCAVATING
1287,EXCAVATING
1288,OTHER
1289,EXCAVATING
1290,OTHER
1291,EXCAVATING
1292,EXCAVATING
1293,EXCAVATING
1294,OTHER
1296,OTHER
1298,OTHER
1299,EXCAVATING
1301,OTHER
1302,OTHER
1303,OTHER
1306,EXCAVATING
1308,OTHER
1309,OTHER
1310,OTHER
1311,OTHER
1312,OTHER
1313,OTHER
1314,EXCAVATING
1315,EXCAVATING
1316,OTHER
1317,OTHER
1319,OTHER
1320,OTHER
1321,OTHER
1322,EXCAVATING
1323,EXCAVATING
1324,OTHER
1325,OTHER
1326,OTHER
1327,OTHER
1328,OTHER
1329,EXCAVATING
1330,EXCAVATING
1331,OTHER
1332,OTHER
1333,OTHER
1334,EXCAVATING
1335,EXCAVATING
1336,EXCAVATING
1337,OTHER
1338,EXCAVATING
1339,OTHER
1340,OTHER
1341,OTHER
1342,OTHER
1343,OTHER
1344,OTHER
1345,EXCAVATING
1347,EXCAVATING
1348,EXCAVATING
1349,EXCAVATING
1350,EXCAVATING
1351,EXCAVATING
1353,EXCAVATING
1354,EXCAVATING
1355,EXCAVATING
1356,EXCAVATING
1357,EXCAVATING
1358,EXCAVATING
1359,EXCAVATING
1362,EXCAVATING
1363,EXCAVATING
1364,EXCAVATING
1366,OTHER
1367,EXCAVATING
1368,EXCAVATING
1369,EXCAVATING
1371,OTHER
1372,EXCAVATING
1373,EXCAVATING
1374,OTHER
1375,EXCAVATING
1376,EXCAVATING
1377,OTHER
1378,OTHER
1379,OTHER
1380,OTHER
1381,EXCAVATING
1383,EXCAVATING
1384,EXCAVATING
1385,EXCAVATING
1386,EXCAVATING
1387,EXCAVATING
1388,EXCAVATING
1389,EXCAVATING
1390,EXCAVATING
1391,EXCAVATING
1392,EXCAVATING
1393,EXCAVATING
1394,EXCAVATING
1395,EXCAVATING
1396,EXCAVATING
1397,EXCAVATING
1398,EXCAVATING
1399,OTHER
1401,OTHER
1402,EXCAVATING
1403,EXCAVATING
1404,EXCAVATING
1405,OTHER
1406,EXCAVATING
1407,OTHER
1408,OTHER
1409,OTHER
1410,EXCAVATING
1411,EXCAVATING
1412,OTHER
1413,EXCAVATING
1415,OTHER
1416,EXCAVATING
1417,EXCAVATING
1418,EXCAVATING
1419,EXCAVATING
1420,EXCAVATING
1421,EXCAVATING
1422,EXCAVATING
1423,EXCAVATING
1424,EXCAVATING
1425,OTHER
1426,EXCAVATING
1427,EXCAVATING
1428,OTHER
1430,OTHER
1431,OTHER
1432,OTHER
1433,EXCAVATING
1434,EXCAVATING
1435,OTHER
1436,OTHER
1437,OTHER
1438,OTHER
1439,OTHER
1440,EXCAVATING
1442,EXCAVATING
1443,EXCAVATING
1444,OTHER
1445,OTHER
1446,OTHER
1447,OTHER
1449,OTHER
1450,OTHER
1451,OTHER
1453,OTHER
1454,OTHER
1456,EXCAVATING
1457,OTHER
1459,OTHER
1461,EXCAVATING
1462,EXCAVATING
1463,EXCAVATING
1464,OTHER
1465,EXCAVATING
1467,EXCAVATING
1468,EXCAVATING
1469,EXCAVATING
1470,EXCAVATING
1471,OTHER
1472,OTHER
1473,OTHER
1474,EXCAVATING
1475,OTHER
1476,EXCAVATING
1477,OTHER
1478,OTHER
1479,OTHER
1480,EXCAVATING
1481,OTHER
1482,EXCAVATING
1483,EXCAVATING
1484,OTHER
1485,EXCAVATING
1488,OTHER
1489,OTHER
1490,OTHER
1491,OTHER
1493,OTHER
1494,OTHER
1495,OTHER
1496,EXCAVATING
1497,OTHER
1498,OTHER
1499,OTHER
1500,EXCAVATING
1501,EXCAVATING
1503,EXCAVATING
1504,OTHER
1506,EXCAVATING
1507,EXCAVATING
1508,EXCAVATING
1509,EXCAVATING
1511,EXCAVATING
1512,EXCAVATING
1513,OTHER
1514,OTHER
1515,EXCAVATING
1516,EXCAVATING
1517,EXCAVATING
1518,EXCAVATING
1519,EXCAVATING
1520,EXCAVATING
1521,EXCAVATING
1522,EXCAVATING
1523,OTHER
1524,EXCAVATING
1527,EXCAVATING
1528,EXCAVATING
1529,OTHER
1530,EXCAVATING
1531,EXCAVATING
1532,OTHER
1533,OTHER
1535,EXCAVATING
1536,OTHER
1537,OTHER
1539,EXCAVATING
1540,EXCAVATING
1541,OTHER
1543,OTHER
1544,EXCAVATING
1545,OTHER
1546,EXCAVATING
1547,EXCAVATING
1548,OTHER
1549,EXCAVATING
1550,EXCAVATING
1551,EXCAVATING
1552,OTHER
1553,EXCAVATING
1554,OTHER
1555,EXCAVATING
1556,EXCAVATING
1557,EXCAVATING
1558,EXCAVATING
1559,EXCAVATING
1560,EXCAVATING
1561,EXCAVATING
1562,EXCAVATING
1563,EXCAVATING
1564,EXCAVATING
1565,OTHER
1566,EXCAVATING
1568,EXCAVATING
1569,EXCAVATING
1570,EXCAVATING
1571,EXCAVATING
1572,OTHER
1573,OTHER
1574,OTHER
1575,EXCAVATING
1576,OTHER
1577,EXCAVATING
1578,EXCAVATING
1579,EXCAVATING
1580,OTHER
1581,EXCAVATING
1582,EXCAVATING
1583,OTHER
1584,OTHER
1585,OTHER
1586,EXCAVATING
1587,EXCAVATING
1588,EXCAVATING
1589,OTHER
1590,EXCAVATING
1591,EXCAVATING
1592,EXCAVATING
1593,EXCAVATING
1594,OTHER
1595,EXCAVATING
1596,EXCAVATING
1597,EXCAVATING
1598,EXCAVATING
1599,EXCAVATING
1600,EXCAVATING
1601,EXCAVATING
1602,EXCAVATING
1603,OTHER
1604,EXCAVATING
1605,EXCAVATING
1606,EXCAVATING
1607,EXCAVATING
1608,EXCAVATING
1609,EXCAVATING
1610,OTHER
1611,EXCAVATING
1612,OTHER
1613,EXCAVATING
1614,OTHER
1615,OTHER
1616,EXCAVATING
1617,EXCAVATING
1618,EXCAVATING
1619,EXCAVATING
1620,EXCAVATING
1621,OTHER
1623,OTHER
1624,EXCAVATING
1625,EXCAVATING
1626,EXCAVATING
1627,EXCAVATING
1628,EXCAVATING
1629,OTHER
1631,OTHER
1632,OTHER
1633,OTHER
1634,EXCAVATING
1635,OTHER
1636,OTHER
1638,OTHER
1639,OTHER
1640,EXCAVATING
1641,EXCAVATING
1642,OTHER
1643,OTHER
1644,OTHER
1645,OTHER
1646,OTHER
1647,OTHER
1648,OTHER
1649,OTHER
1650,OTHER
1651,OTHER
1652,OTHER
1653,EXCAVATING
1654,EXCAVATING
1655,EXCAVATING
1656,EXCAVATING
1657,EXCAVATING
1659,OTHER
1660,EXCAVATING
1661,OTHER
1662,OTHER
1663,OTHER
1664,OTHER
1665,OTHER
1666,OTHER
1667,OTHER
1668,OTHER
1669,OTHER
1670,EXCAVATING
1671,EXCAVATING
1672,OTHER
1673,OTHER
1674,EXCAVATING
1675,EXCAVATING
1676,EXCAVATING
1677,OTHER
1678,EXCAVATING
1679,EXCAVATING
1680,EXCAVATING
1681,EXCAVATING
1682,EXCAVATING
1683,OTHER
1684,OTHER
1685,OTHER
1686,EXCAVATING
1687,EXCAVATING
1688,EXCAVATING
1689,EXCAVATING
1690,EXCAVATING
1692,OTHER
1693,OTHER
1694,EXCAVATING
1695,OTHER
1696,OTHER
1697,OTHER
1698,OTHER
1699,EXCAVATING
1700,EXCAVATING
1701,EXCAVATING
1703,EXCAVATING
1704,EXCAVATING
1705,OTHER
1706,OTHER
1707,OTHER
1708,OTHER
1709,OTHER
1710,OTHER
1711,OTHER
1712,OTHER
1713,OTHER
1714,EXCAVATING
1715,EXCAVATING
1716,EXCAVATING
1717,EXCAVATING
1718,EXCAVATING
1719,OTHER
1720,OTHER
1721,OTHER
1722,OTHER
1723,OTHER
1724,OTHER
1725,OTHER
1726,OTHER
1727,EXCAVATING
1729,EXCAVATING
1730,EXCAVATING
1731,EXCAVATING
1732,EXCAVATING
1733,OTHER
1734,OTHER
1735,OTHER
1736,OTHER
1737,EXCAVATING
1738,EXCAVATING
1739,OTHER
1740,EXCAVATING
1741,EXCAVATING
1742,EXCAVATING
1743,EXCAVATING
1744,EXCAVATING
1746,EXCAVATING
1747,EXCAVATING
1748,OTHER
1749,OTHER
1750,EXCAVATING
1751,EXCAVATING
1752,EXCAVATING
1753,OTHER
1754,OTHER
1755,OTHER
1756,EXCAVATING
1757,OTHER
1758,EXCAVATING
1759,EXCAVATING
1761,EXCAVATING
1762,OTHER
1763,OTHER
1764,EXCAVATING
1765,OTHER
1766,OTHER
1767,OTHER
1768,OTHER
1769,EXCAVATING
1770,OTHER
1771,EXCAVATING
1772,OTHER
1773,OTHER
1774,OTHER
1775,EXCAVATING
1777,EXCAVATING
1778,OTHER
1779,EXCAVATING
1780,EXCAVATING
1781,EXCAVATING
1782,EXCAVATING
1783,EXCAVATING
1784,EXCAVATING
1785,EXCAVATING
1786,EXCAVATING
1787,EXCAVATING
1789,OTHER
1790,EXCAVATING
1791,EXCAVATING
1792,EXCAVATING
1793,OTHER
1794,EXCAVATING
1795,OTHER
1796,EXCAVATING
1797,EXCAVATING
1798,EXCAVATING
1799,OTHER
1800,EXCAVATING
1801,EXCAVATING
1802,OTHER
1803,OTHER
1804,OTHER
1805,OTHER
1806,OTHER
1807,OTHER
1808,OTHER
1809,EXCAVATING
1810,EXCAVATING
1811,EXCAVATING
1813,EXCAVATING
1814,EXCAVATING
1815,EXCAVATING
1816,EXCAVATING
1817,OTHER
1818,EXCAVATING
1819,EXCAVATING
1820,OTHER
1821,EXCAVATING
1822,EXCAVATING
1823,EXCAVATING
1824,OTHER
1825,EXCAVATING
1826,EXCAVATING
1827,EXCAVATING
1828,EXCAVATING
1829,OTHER
1830,OTHER
1831,EXCAVATING
1832,EXCAVATING
1834,EXCAVATING
1835,EXCAVATING
1836,EXCAVATING
1837,OTHER
1838,OTHER
1839,OTHER
1841,OTHER
1842,OTHER
1843,EXCAVATING
1844,OTHER
1845,OTHER
1846,EXCAVATING
1847,OTHER
1848,EXCAVATING
1849,EXCAVATING
1850,EXCAVATING
1851,OTHER
1853,EXCAVATING
1854,EXCAVATING
1855,EXCAVATING
1856,OTHER
1857,EXCAVATING
1858,EXCAVATING
1859,EXCAVATING
1860,EXCAVATING
1861,EXCAVATING
1862,EXCAVATING
1863,OTHER
1866,EXCAVATING
1867,EXCAVATING
1868,EXCAVATING
1869,OTHER
1870,OTHER
1871,OTHER
1872,OTHER
1873,OTHER
1874,EXCAVATING
1875,EXCAVATING
1876,OTHER
1877,EXCAVATING
1878,EXCAVATING
1879,EXCAVATING
1880,EXCAVATING
1881,EXCAVATING
1882,EXCAVATING
1883,OTHER
1884,EXCAVATING
1885,EXCAVATING
1886,EXCAVATING
1887,EXCAVATING
1888,EXCAVATING
1889,EXCAVATING
1890,EXCAVATING
1891,EXCAVATING
1892,OTHER
